	 	Differential rates for pion production
	    (multiplied by the energy bin size = probability)
    Energy in	  Energy out   same flavor    p -> n	     n -> p
  1.261013e+19  3.167518e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.554016e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.987673e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  4.474244e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  5.020176e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  5.632733e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  6.320033e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  7.091196e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  7.956457e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  8.927276e+20  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.001657e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.123878e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.261013e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.414880e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.587519e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.781226e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.998570e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  2.242433e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  2.516053e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  2.823052e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.167518e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.554016e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.987673e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  4.474244e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  5.020176e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  5.632733e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  6.320033e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  7.091196e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  7.956457e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  8.927276e+21  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.001657e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.123878e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.261013e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.414880e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.587519e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.781226e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.998570e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  2.242433e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  2.516053e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  2.823052e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.167518e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.554016e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  3.987673e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  4.474244e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  5.020176e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  5.632733e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  6.320033e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  7.091196e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  7.956457e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  8.927276e+22  0.000000e+00  0.000000e+00  0.000000e+00
  1.261013e+19  1.001657e+23  0.000000e+00  0.000000e+00  0.000000e+00
  1.414880e+19  1.001657e+19  2.715260e-11  3.966217e-11  5.887207e-11
  1.414880e+19  1.123878e+19  5.630225e-11  6.003062e-11  7.969285e-11
  1.414880e+19  1.261013e+19  6.277603e-11  3.072473e-11  3.123780e-11
  1.414880e+19  1.414880e+19  0.000000e+00  6.530101e-12  5.589820e-12
