x,Curve1
1052.1,0.147226
1116.33,0.207335
1204.71,0.339983
1300.08,0.564615
1367.82,0.746283
1526.95,0.961534
1719.07,1.17754
1855.16,1.38839
2124.25,1.55574
2371.37,1.63622
2580.86,1.721
2881.1,1.74244
3299,1.80936
3682.79,1.95187
4216.97,2.30099
4550.81,2.51415
5080.22,2.64422
5768.06,2.74584
6277.61,2.81574
7067.48,2.67555
8024.39,2.51022
10521,2.3245
13562.9,2.12549
16339.4,1.87128
19851.5,1.56593
22349.3,1.36152
25161.4,1.04275
28811,0.788507
34708.9,0.619298
39743.4,0.518326
45894.9,0.559098
53903.6,0.626444
64390.8,0.693022
74357.3,0.757081
90340.5,0.747136
101707,0.719
121495,0.625044
142696,0.557354
173369,0.522817
201905,0.51601
247390,0.549494
290560,0.600258
335533,0.647476
371409,0.844899
451244,1.43872
552901,2.71154
638480,4.11966
737305,5.17444
844249,6.17783
926642,6.2551
1.08834e+06,6.17351
1.2462e+06,5.43593
1.46366e+06,4.49197
1.71907e+06,3.14756
2.00203e+06,2.20558
2.31191e+06,1.45055
2.6028e+06,1.00371
3.00567e+06,0.643577
3.27119e+06,0.451055
3.74567e+06,0.285575
4.11122e+06,0.200142
4.3622e+06,0.149467
4.78792e+06,0.10609
