x,Curve1
1242.91,0.10687
1357,0.347054
1840.27,1.43637
2481.68,2.78443
3379.11,3.79527
4195.39,5.46403
5385.21,8.30287
6256.9,10.0276
7774.86,11.4674
9582.9,12.2559
11814.9,12.0761
14940.9,11.1182
17970.1,9.96558
20726.2,9.05653
23914.5,7.38518
29513.5,5.55001
33494.5,4.28752
39637.8,3.3114
47716.3,2.32593
51481.5,1.97612
60386,1.74769
72625.3,1.58788
94936.4,1.607
123097,1.51992
161001,1.3253
223342,1.07955
253293,1.00811
328378,0.99303
381607,1.13606
458524,1.33512
541074,2.26209
654727,3.83208
785957,5.82534
868348,7.23076
1.12465e+06,9.33874
1.37476e+06,9.71454
1.54582e+06,9.57724
1.79816e+06,8.35662
2.14565e+06,6.631
2.60415e+06,4.91669
3.0315e+06,3.50127
3.41223e+06,2.59724
3.97296e+06,1.752
4.43508e+06,1.26496
5.12135e+06,0.830532
5.67021e+06,0.575802
6.33068e+06,0.399179
7.37536e+06,0.228877
8.167e+06,0.15236
8.96687e+06,0.105635
