x,Curve1
1174.5,0.101309
1289.12,0.166088
1367.82,0.224018
1606.51,0.255141
1968.42,0.279465
2411.86,0.290587
2832.73,0.275853
3383.86,0.255141
3907.61,0.268769
4512.44,0.286832
5576.01,0.268769
7249.27,0.232933
9034.05,0.218264
12252.8,0.20991
15530.2,0.194149
18709.4,0.149672
22160.9,0.113893
23119.1,0.1
27851.8,0.0987075
35004,0.0987075
43622,0.0987075
49949.3,0.113893
53903.6,0.133135
63848,0.142083
71881.6,0.147738
83713.2,0.131415
100000,0.113893
108834,0.101309
151407,0.1
191906,0.0987075
237137,0.105341
278518,0.123139
332705,0.143944
397434,0.265295
455081,0.434929
529986,0.685738
617222,1.0398
643908,1.10968
830076,1.29716
865964,1.29716
1.01707e+06,1.12421
1.15478e+06,0.949295
1.36782e+06,0.668127
1.51407e+06,0.528645
1.64783e+06,0.418282
1.87094e+06,0.286832
2.10634e+06,0.196691
2.29242e+06,0.143944
2.43237e+06,0.110968
2.4739e+06,0.105341
