x,Curve1
1082.25,0.10398
1349.33,0.45816
1565.06,0.579044
1800.38,0.722366
2006.07,0.76095
2430.4,0.791234
2824.63,0.801595
3257.03,0.770913
3539.7,0.801595
4143.5,0.924915
4501.5,1
5145.57,1
6083.19,0.974318
7256.3,0.889513
8583.6,0.812091
10669.5,0.791234
12938.6,0.741407
16100,0.642554
19546.9,0.528645
21273.4,0.470237
23567.7,0.372067
25895.2,0.290587
28445.8,0.232933
29437.2,0.212659
33935.4,0.20991
38790.8,0.20991
43554.5,0.239073
49296.2,0.283124
55350,0.322459
62676.2,0.362512
70406.3,0.391941
74657.1,0.386875
86126.3,0.353202
95234.8,0.34413
112721,0.294392
125792,0.261866
142678,0.245375
177330,0.242204
225807,0.261866
264451,0.286832
302038,0.314178
336466,0.339683
432696,0.781008
521443,1.45828
603527,2.32933
712154,2.79465
826501,3.30959
1.03683e+06,2.94392
1.13734e+06,2.75853
1.39458e+06,1.9164
1.71221e+06,1.15384
1.98061e+06,0.781008
2.31278e+06,0.470237
2.67692e+06,0.298247
3.07333e+06,0.184305
3.47035e+06,0.112421
3.56225e+06,0.1
