x,Curve1
1045.88,0.202095
1081.03,0.264376
1136.12,0.373441
1203.96,0.555194
1286.56,0.836031
1329.75,1.12202
1469.92,1.43072
1624.83,1.84785
1781.14,2.32631
2105.7,2.85467
2468.83,3.3283
2968.7,3.64008
3452.07,3.93047
4080.62,5.14175
4665.33,6.07202
5334.2,6.90063
6099.39,7.54706
7396.99,7.74264
9513.59,7.74264
12549.4,7.1706
15095.3,6.55642
18313,5.55194
20947.4,5.01187
25208,3.59381
29578.6,2.71227
35892.1,2.02095
38715.7,1.77828
45798.2,1.56475
52826.2,1.43072
62471.1,1.4867
69080.3,1.56475
80339.3,1.56475
93433.4,1.56475
110518,1.43072
137477,1.29155
173919,1.12202
218141,1.07978
262345,1.09368
326219,1.21153
372902,1.56475
451855,2.54423
547435,4.52434
636124,7.1706
739457,9.26119
845414,10.9368
966711,11.8092
1.10557e+06,11.8092
1.233e+06,11.5109
1.42238e+06,9.87289
1.6829e+06,7.84232
1.89331e+06,6.3908
2.29775e+06,4.41006
2.65191e+06,2.92864
3.06036e+06,2.04697
3.44395e+06,1.43072
3.97514e+06,0.902725
4.47413e+06,0.576914
5.07829e+06,0.364008
5.66814e+06,0.229674
6.48848e+06,0.135936
7.00088e+06,0.102591
7.00154e+06,0.097474
