 2.81838778E+18  316229.125  4921.89111
 3.5481276E+18  251187.312  5074.75
 4.46683196E+18  199525.875  4940.51514
 5.62341319E+18  158489.594  4604.06641
 7.079464E+18  158489.594  5745.24365
 8.91252526E+18  125893.203  5319.95898
 1.12201643E+19  99999.9922  5219.95703
 1.41253632E+19  100000.008  5933.90869
 1.77827941E+19  79433.1016  5953.7627
 2.2387231E+19  79433.1016  7104.7124
 2.81838783E+19  63096.1758  7098.87451
 3.54812776E+19  50118.375  6820.24707
 4.46683196E+19  31622.7773  6324.55566
 5.62341308E+19  19952.5859  5332.55273
 7.07946422E+19  10000.001  4472.13623
 8.91252515E+19  12589.3203  5630.11523
 1.12201652E+20  3700.  2300.
 1.4125E+20      0.1   5100.    
 1.77827939E+20  5900.  3700.
 2.2387E+20      0.1  8100. 
